,Human Weight,Ball Weight,Number of Points,Minimum Cost - Our Algorithm,Minimum Cost - Shortest Distance,Distance of Path - Our Algorithm,Shortest Distance,Algorithm Path,SD Path,Cost Savings,Time to Calculate (seconds),Point 0,Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11
557,170,52.5,7,11539.9,11784.206,37.078,33.487,"[[0, 0], [10, 8], [5, 7], [5, 9], [3, 9], [1, 7], [4, 2], [5, 1], [0, 0]]","[[0, 0], [1, 7], [3, 9], [5, 9], [5, 7], [10, 8], [5, 1], [4, 2], [0, 0]]",244.307,0.1035,"[0, 0]","[10, 8]","[5, 7]","[5, 9]","[3, 9]","[1, 7]","[4, 2]","[5, 1]","[0, 0]",,,
558,120,12.5,9,5500.174,5500.174,32.349,32.349,"[[0, 0], [5, 5], [7, 7], [10, 7], [8, 8], [3, 10], [2, 10], [1, 9], [0, 8], [0, 5], [0, 0]]","[[0, 0], [5, 5], [7, 7], [10, 7], [8, 8], [3, 10], [2, 10], [1, 9], [0, 8], [0, 5], [0, 0]]",0.0,10.6403,"[0, 0]","[5, 5]","[7, 7]","[10, 7]","[8, 8]","[3, 10]","[2, 10]","[1, 9]","[0, 8]","[0, 5]","[0, 0]",
559,65,22.5,4,2088.022,2088.022,20.874,20.874,"[[0, 0], [2, 8], [3, 7], [5, 2], [2, 2], [0, 0]]","[[0, 0], [2, 8], [3, 7], [5, 2], [2, 2], [0, 0]]",0.0,0.2521,"[0, 0]","[2, 8]","[3, 7]","[5, 2]","[2, 2]","[0, 0]",,,,,,
560,165,45.0,3,5305.66,5305.66,24.907,24.907,"[[0, 0], [6, 9], [8, 6], [2, 0], [0, 0]]","[[0, 0], [6, 9], [8, 6], [2, 0], [0, 0]]",-0.0,0.0,"[0, 0]","[6, 9]","[8, 6]","[2, 0]","[0, 0]",,,,,,,
561,100,87.5,10,17669.302,21995.719,44.388,41.305,"[[0, 0], [9, 9], [9, 2], [5, 4], [5, 5], [4, 7], [4, 10], [1, 10], [0, 6], [1, 5], [1, 1], [0, 0]]","[[0, 0], [1, 1], [9, 2], [5, 4], [5, 5], [4, 7], [9, 9], [4, 10], [1, 10], [0, 6], [1, 5], [0, 0]]",4326.417,121.5203,"[0, 0]","[9, 9]","[9, 2]","[5, 4]","[5, 5]","[4, 7]","[4, 10]","[1, 10]","[0, 6]","[1, 5]","[1, 1]","[0, 0]"
562,100,7.5,5,3103.588,3103.588,27.002,27.002,"[[0, 0], [7, 7], [7, 4], [10, 2], [9, 1], [3, 0], [0, 0]]","[[0, 0], [7, 7], [7, 4], [10, 2], [9, 1], [3, 0], [0, 0]]",0.0,1.4344,"[0, 0]","[7, 7]","[7, 4]","[10, 2]","[9, 1]","[3, 0]","[0, 0]",,,,,
563,130,77.5,4,9236.161,9236.161,35.176,35.176,"[[0, 0], [1, 9], [8, 10], [9, 0], [6, 0], [0, 0]]","[[0, 0], [1, 9], [8, 10], [9, 0], [6, 0], [0, 0]]",0.0,0.0,"[0, 0]","[1, 9]","[8, 10]","[9, 0]","[6, 0]","[0, 0]",,,,,,
564,190,2.5,10,6226.409,6226.409,30.963,30.963,"[[0, 0], [3, 0], [3, 1], [8, 2], [4, 5], [2, 10], [1, 9], [1, 7], [0, 6], [1, 5], [1, 2], [0, 0]]","[[0, 0], [3, 0], [3, 1], [8, 2], [4, 5], [2, 10], [1, 9], [1, 7], [0, 6], [1, 5], [1, 2], [0, 0]]",0.0,122.8543,"[0, 0]","[3, 0]","[3, 1]","[8, 2]","[4, 5]","[2, 10]","[1, 9]","[1, 7]","[0, 6]","[1, 5]","[1, 2]","[0, 0]"
565,110,47.5,9,9784.603,9784.603,36.529,36.529,"[[0, 0], [10, 3], [8, 10], [8, 10], [3, 8], [2, 9], [1, 10], [1, 8], [1, 8], [2, 4], [0, 0]]","[[0, 0], [10, 3], [8, 10], [8, 10], [3, 8], [2, 9], [1, 10], [1, 8], [1, 8], [2, 4], [0, 0]]",0.0,11.7432,"[0, 0]","[10, 3]","[8, 10]","[8, 10]","[3, 8]","[2, 9]","[1, 10]","[1, 8]","[1, 8]","[2, 4]","[0, 0]",
566,55,17.5,9,4374.827,4778.444,42.89,38.148,"[[0, 0], [9, 10], [0, 10], [1, 9], [3, 5], [7, 1], [6, 1], [5, 2], [3, 3], [3, 3], [0, 0]]","[[0, 0], [5, 2], [6, 1], [7, 1], [9, 10], [0, 10], [1, 9], [3, 5], [3, 3], [3, 3], [0, 0]]",403.617,10.2817,"[0, 0]","[9, 10]","[0, 10]","[1, 9]","[3, 5]","[7, 1]","[6, 1]","[5, 2]","[3, 3]","[3, 3]","[0, 0]",
567,135,90.0,10,19382.787,19382.787,34.295,34.295,"[[0, 0], [6, 2], [7, 2], [10, 8], [10, 9], [9, 8], [8, 8], [6, 6], [1, 8], [1, 7], [2, 4], [0, 0]]","[[0, 0], [6, 2], [7, 2], [10, 8], [10, 9], [9, 8], [8, 8], [6, 6], [1, 8], [1, 7], [2, 4], [0, 0]]",-0.0,122.3157,"[0, 0]","[6, 2]","[7, 2]","[10, 8]","[10, 9]","[9, 8]","[8, 8]","[6, 6]","[1, 8]","[1, 7]","[2, 4]","[0, 0]"
568,100,75.0,9,15202.504,15202.504,35.134,35.134,"[[0, 0], [4, 0], [5, 0], [9, 1], [9, 7], [7, 10], [4, 7], [1, 8], [1, 5], [0, 5], [0, 0]]","[[0, 0], [4, 0], [5, 0], [9, 1], [9, 7], [7, 10], [4, 7], [1, 8], [1, 5], [0, 5], [0, 0]]",-0.0,10.5899,"[0, 0]","[4, 0]","[5, 0]","[9, 1]","[9, 7]","[7, 10]","[4, 7]","[1, 8]","[1, 5]","[0, 5]","[0, 0]",
569,70,67.5,4,3360.019,3360.019,17.867,17.867,"[[0, 0], [2, 8], [3, 8], [3, 7], [2, 5], [0, 0]]","[[0, 0], [2, 8], [3, 8], [3, 7], [2, 5], [0, 0]]",-0.0,0.216,"[0, 0]","[2, 8]","[3, 8]","[3, 7]","[2, 5]","[0, 0]",,,,,,
570,125,90.0,9,17031.314,17431.792,39.34,35.648,"[[0, 0], [7, 8], [10, 2], [9, 2], [7, 5], [5, 4], [4, 6], [2, 9], [1, 7], [0, 1], [0, 0]]","[[0, 0], [5, 4], [9, 2], [10, 2], [7, 5], [7, 8], [4, 6], [2, 9], [1, 7], [0, 1], [0, 0]]",400.478,9.5745,"[0, 0]","[7, 8]","[10, 2]","[9, 2]","[7, 5]","[5, 4]","[4, 6]","[2, 9]","[1, 7]","[0, 1]","[0, 0]",
571,135,87.5,8,12552.827,12687.952,29.82,29.292,"[[0, 0], [6, 1], [7, 2], [10, 8], [9, 6], [5, 5], [3, 5], [0, 3], [1, 2], [0, 0]]","[[0, 0], [6, 1], [7, 2], [9, 6], [10, 8], [5, 5], [3, 5], [0, 3], [1, 2], [0, 0]]",135.124,1.1682,"[0, 0]","[6, 1]","[7, 2]","[10, 8]","[9, 6]","[5, 5]","[3, 5]","[0, 3]","[1, 2]","[0, 0]",,
572,85,10.0,9,4029.809,4143.716,34.267,33.349,"[[0, 0], [2, 4], [9, 10], [5, 5], [6, 4], [8, 3], [7, 1], [7, 1], [3, 2], [3, 1], [0, 0]]","[[0, 0], [2, 4], [5, 5], [6, 4], [9, 10], [8, 3], [7, 1], [7, 1], [3, 2], [3, 1], [0, 0]]",113.908,11.9435,"[0, 0]","[2, 4]","[9, 10]","[5, 5]","[6, 4]","[8, 3]","[7, 1]","[7, 1]","[3, 2]","[3, 1]","[0, 0]",
573,160,52.5,4,7784.958,7784.958,29.869,29.869,"[[0, 0], [2, 5], [3, 10], [9, 2], [4, 0], [0, 0]]","[[0, 0], [2, 5], [3, 10], [9, 2], [4, 0], [0, 0]]",0.0,0.1283,"[0, 0]","[2, 5]","[3, 10]","[9, 2]","[4, 0]","[0, 0]",,,,,,
574,135,85.0,8,13308.356,14092.211,33.798,30.978,"[[0, 0], [9, 8], [10, 6], [9, 5], [7, 1], [5, 2], [2, 3], [2, 5], [0, 4], [0, 0]]","[[0, 0], [0, 4], [2, 5], [9, 8], [10, 6], [9, 5], [7, 1], [5, 2], [2, 3], [0, 0]]",783.855,1.0685,"[0, 0]","[9, 8]","[10, 6]","[9, 5]","[7, 1]","[5, 2]","[2, 3]","[2, 5]","[0, 4]","[0, 0]",,
575,35,42.5,7,4668.694,5535.234,39.253,32.302,"[[0, 0], [9, 10], [8, 0], [7, 0], [3, 0], [2, 5], [1, 3], [1, 1], [0, 0]]","[[0, 0], [3, 0], [7, 0], [8, 0], [9, 10], [2, 5], [1, 3], [1, 1], [0, 0]]",866.54,0.1368,"[0, 0]","[9, 10]","[8, 0]","[7, 0]","[3, 0]","[2, 5]","[1, 3]","[1, 1]","[0, 0]",,,
576,45,60.0,6,6877.688,7047.32,35.992,34.59,"[[0, 0], [10, 1], [6, 3], [8, 10], [6, 9], [4, 9], [1, 4], [0, 0]]","[[0, 0], [6, 3], [10, 1], [8, 10], [6, 9], [4, 9], [1, 4], [0, 0]]",169.631,0.021,"[0, 0]","[10, 1]","[6, 3]","[8, 10]","[6, 9]","[4, 9]","[1, 4]","[0, 0]",,,,
577,55,97.5,8,11382.559,12475.819,37.726,30.315,"[[0, 0], [8, 10], [8, 3], [7, 5], [4, 7], [2, 7], [2, 5], [4, 2], [2, 1], [0, 0]]","[[0, 0], [2, 5], [2, 7], [4, 7], [8, 10], [7, 5], [8, 3], [4, 2], [2, 1], [0, 0]]",1093.26,1.036,"[0, 0]","[8, 10]","[8, 3]","[7, 5]","[4, 7]","[2, 7]","[2, 5]","[4, 2]","[2, 1]","[0, 0]",,
578,100,42.5,7,5466.152,5611.693,25.407,24.27,"[[0, 0], [4, 1], [2, 10], [3, 8], [3, 7], [2, 7], [0, 5], [0, 4], [0, 0]]","[[0, 0], [4, 1], [3, 7], [3, 8], [2, 10], [2, 7], [0, 5], [0, 4], [0, 0]]",145.541,0.145,"[0, 0]","[4, 1]","[2, 10]","[3, 8]","[3, 7]","[2, 7]","[0, 5]","[0, 4]","[0, 0]",,,
579,110,17.5,4,2436.76,2436.76,17.067,17.067,"[[0, 0], [4, 3], [4, 5], [3, 7], [0, 2], [0, 0]]","[[0, 0], [4, 3], [4, 5], [3, 7], [0, 2], [0, 0]]",-0.0,0.002,"[0, 0]","[4, 3]","[4, 5]","[3, 7]","[0, 2]","[0, 0]",,,,,,
580,75,17.5,7,4444.246,4444.246,35.168,35.168,"[[0, 0], [7, 1], [10, 0], [10, 10], [8, 9], [7, 7], [5, 5], [2, 4], [0, 0]]","[[0, 0], [7, 1], [10, 0], [10, 10], [8, 9], [7, 7], [5, 5], [2, 4], [0, 0]]",0.0,0.1035,"[0, 0]","[7, 1]","[10, 0]","[10, 10]","[8, 9]","[7, 7]","[5, 5]","[2, 4]","[0, 0]",,,
581,180,50.0,3,5653.593,5739.9,24.665,24.362,"[[0, 0], [10, 2], [6, 6], [1, 0], [0, 0]]","[[0, 0], [6, 6], [10, 2], [1, 0], [0, 0]]",86.306,0.002,"[0, 0]","[10, 2]","[6, 6]","[1, 0]","[0, 0]",,,,,,,
582,25,90.0,8,11389.81,13034.703,39.823,35.558,"[[0, 0], [9, 9], [1, 8], [2, 6], [4, 6], [6, 5], [6, 3], [8, 2], [6, 2], [0, 0]]","[[0, 0], [2, 6], [1, 8], [4, 6], [9, 9], [6, 5], [6, 3], [8, 2], [6, 2], [0, 0]]",1644.893,1.197,"[0, 0]","[9, 9]","[1, 8]","[2, 6]","[4, 6]","[6, 5]","[6, 3]","[8, 2]","[6, 2]","[0, 0]",,
583,35,87.5,3,2701.962,2701.962,27.577,27.577,"[[0, 0], [9, 9], [0, 5], [0, 0], [0, 0]]","[[0, 0], [9, 9], [0, 5], [0, 0], [0, 0]]",0.0,0.025,"[0, 0]","[9, 9]","[0, 5]","[0, 0]","[0, 0]",,,,,,,
584,160,70.0,8,14584.254,15296.484,38.062,35.7,"[[0, 0], [0, 9], [7, 7], [9, 4], [10, 1], [10, 1], [6, 2], [4, 5], [1, 4], [0, 0]]","[[0, 0], [1, 4], [0, 9], [4, 5], [7, 7], [9, 4], [10, 1], [10, 1], [6, 2], [0, 0]]",712.231,1.103,"[0, 0]","[0, 9]","[7, 7]","[9, 4]","[10, 1]","[10, 1]","[6, 2]","[4, 5]","[1, 4]","[0, 0]",,
585,85,62.5,3,4744.367,4744.367,26.687,26.687,"[[0, 0], [1, 7], [8, 4], [8, 0], [0, 0]]","[[0, 0], [1, 7], [8, 4], [8, 0], [0, 0]]",-0.0,0.016,"[0, 0]","[1, 7]","[8, 4]","[8, 0]","[0, 0]",,,,,,,
586,40,22.5,9,4341.889,4341.889,32.312,32.312,"[[0, 0], [1, 6], [4, 6], [8, 8], [8, 7], [9, 5], [8, 1], [8, 0], [5, 1], [4, 3], [0, 0]]","[[0, 0], [1, 6], [4, 6], [8, 8], [8, 7], [9, 5], [8, 1], [8, 0], [5, 1], [4, 3], [0, 0]]",-0.0,10.945,"[0, 0]","[1, 6]","[4, 6]","[8, 8]","[8, 7]","[9, 5]","[8, 1]","[8, 0]","[5, 1]","[4, 3]","[0, 0]",
587,135,85.0,4,7647.258,8861.159,30.671,29.542,"[[0, 0], [4, 10], [9, 4], [5, 0], [2, 2], [0, 0]]","[[0, 0], [5, 0], [9, 4], [4, 10], [2, 2], [0, 0]]",1213.902,0.207,"[0, 0]","[4, 10]","[9, 4]","[5, 0]","[2, 2]","[0, 0]",,,,,,
588,45,70.0,7,7912.198,8092.665,34.331,31.12,"[[0, 0], [9, 6], [5, 8], [1, 10], [1, 9], [2, 5], [0, 4], [3, 2], [0, 0]]","[[0, 0], [3, 2], [9, 6], [5, 8], [1, 10], [1, 9], [2, 5], [0, 4], [0, 0]]",180.467,0.0905,"[0, 0]","[9, 6]","[5, 8]","[1, 10]","[1, 9]","[2, 5]","[0, 4]","[3, 2]","[0, 0]",,,
589,90,40.0,7,7156.01,7156.01,31.897,31.897,"[[0, 0], [6, 2], [8, 7], [9, 8], [5, 10], [4, 8], [2, 6], [0, 7], [0, 0]]","[[0, 0], [6, 2], [8, 7], [9, 8], [5, 10], [4, 8], [2, 6], [0, 7], [0, 0]]",0.0,0.1064,"[0, 0]","[6, 2]","[8, 7]","[9, 8]","[5, 10]","[4, 8]","[2, 6]","[0, 7]","[0, 0]",,,
590,105,25.0,6,5310.316,5310.316,31.129,31.129,"[[0, 0], [0, 8], [3, 5], [4, 6], [10, 5], [8, 3], [2, 1], [0, 0]]","[[0, 0], [0, 8], [3, 5], [4, 6], [10, 5], [8, 3], [2, 1], [0, 0]]",-0.0,0.038,"[0, 0]","[0, 8]","[3, 5]","[4, 6]","[10, 5]","[8, 3]","[2, 1]","[0, 0]",,,,
591,85,5.0,10,3593.431,3593.431,34.249,34.249,"[[0, 0], [0, 8], [2, 10], [6, 6], [8, 5], [9, 4], [10, 2], [9, 1], [7, 2], [5, 3], [2, 2], [0, 0]]","[[0, 0], [0, 8], [2, 10], [6, 6], [8, 5], [9, 4], [10, 2], [9, 1], [7, 2], [5, 3], [2, 2], [0, 0]]",-0.0,122.2563,"[0, 0]","[0, 8]","[2, 10]","[6, 6]","[8, 5]","[9, 4]","[10, 2]","[9, 1]","[7, 2]","[5, 3]","[2, 2]","[0, 0]"
592,130,95.0,4,9967.185,9967.185,31.817,31.817,"[[0, 0], [9, 4], [10, 9], [5, 10], [4, 10], [0, 0]]","[[0, 0], [9, 4], [10, 9], [5, 10], [4, 10], [0, 0]]",0.0,1.4359,"[0, 0]","[9, 4]","[10, 9]","[5, 10]","[4, 10]","[0, 0]",,,,,,
593,165,85.0,7,13242.257,13242.257,31.521,31.521,"[[0, 0], [4, 5], [9, 8], [10, 10], [5, 9], [3, 9], [1, 7], [1, 4], [0, 0]]","[[0, 0], [4, 5], [9, 8], [10, 10], [5, 9], [3, 9], [1, 7], [1, 4], [0, 0]]",0.0,0.128,"[0, 0]","[4, 5]","[9, 8]","[10, 10]","[5, 9]","[3, 9]","[1, 7]","[1, 4]","[0, 0]",,,
594,185,72.5,3,2585.929,3068.364,10.606,10.492,"[[0, 0], [3, 4], [1, 1], [1, 0], [0, 0]]","[[0, 0], [1, 1], [3, 4], [1, 0], [0, 0]]",482.434,0.002,"[0, 0]","[3, 4]","[1, 1]","[1, 0]","[0, 0]",,,,,,,
595,115,75.0,5,7766.361,7766.361,27.012,27.012,"[[0, 0], [5, 3], [10, 6], [6, 7], [4, 8], [2, 5], [0, 0]]","[[0, 0], [5, 3], [10, 6], [6, 7], [4, 8], [2, 5], [0, 0]]",-0.0,0.002,"[0, 0]","[5, 3]","[10, 6]","[6, 7]","[4, 8]","[2, 5]","[0, 0]",,,,,
596,60,52.5,9,8619.99,8897.854,37.703,33.521,"[[0, 0], [4, 10], [9, 10], [7, 7], [9, 6], [9, 5], [6, 3], [3, 6], [0, 3], [0, 1], [0, 0]]","[[0, 0], [6, 3], [9, 5], [9, 6], [7, 7], [9, 10], [4, 10], [3, 6], [0, 3], [0, 1], [0, 0]]",277.864,10.6668,"[0, 0]","[4, 10]","[9, 10]","[7, 7]","[9, 6]","[9, 5]","[6, 3]","[3, 6]","[0, 3]","[0, 1]","[0, 0]",
597,165,30.0,9,7513.194,7513.194,25.443,25.443,"[[0, 0], [4, 0], [7, 5], [8, 6], [7, 6], [6, 6], [4, 7], [4, 7], [3, 8], [2, 5], [0, 0]]","[[0, 0], [4, 0], [7, 5], [8, 6], [7, 6], [6, 6], [4, 7], [4, 7], [3, 8], [2, 5], [0, 0]]",0.0,11.9953,"[0, 0]","[4, 0]","[7, 5]","[8, 6]","[7, 6]","[6, 6]","[4, 7]","[4, 7]","[3, 8]","[2, 5]","[0, 0]",
598,25,17.5,7,2557.431,2752.722,35.769,33.273,"[[0, 0], [10, 0], [9, 5], [7, 8], [3, 8], [5, 6], [2, 2], [3, 0], [0, 0]]","[[0, 0], [3, 0], [10, 0], [9, 5], [7, 8], [5, 6], [3, 8], [2, 2], [0, 0]]",195.291,0.2506,"[0, 0]","[10, 0]","[9, 5]","[7, 8]","[3, 8]","[5, 6]","[2, 2]","[3, 0]","[0, 0]",,,
599,175,72.5,4,7322.683,7322.683,25.724,25.724,"[[0, 0], [5, 6], [10, 6], [7, 1], [1, 0], [0, 0]]","[[0, 0], [5, 6], [10, 6], [7, 1], [1, 0], [0, 0]]",0.0,0.001,"[0, 0]","[5, 6]","[10, 6]","[7, 1]","[1, 0]","[0, 0]",,,,,,
600,195,80.0,10,17185.934,17384.342,31.098,29.987,"[[0, 0], [4, 0], [4, 0], [5, 8], [9, 9], [9, 9], [7, 7], [5, 5], [3, 4], [2, 5], [0, 2], [0, 0]]","[[0, 0], [0, 2], [2, 5], [5, 8], [9, 9], [9, 9], [7, 7], [5, 5], [3, 4], [4, 0], [4, 0], [0, 0]]",198.408,126.513,"[0, 0]","[4, 0]","[4, 0]","[5, 8]","[9, 9]","[9, 9]","[7, 7]","[5, 5]","[3, 4]","[2, 5]","[0, 2]","[0, 0]"
601,175,10.0,5,6652.723,6652.723,33.442,33.442,"[[0, 0], [10, 2], [8, 4], [6, 10], [4, 9], [3, 10], [0, 0]]","[[0, 0], [10, 2], [8, 4], [6, 10], [4, 9], [3, 10], [0, 0]]",0.0,0.4856,"[0, 0]","[10, 2]","[8, 4]","[6, 10]","[4, 9]","[3, 10]","[0, 0]",,,,,
602,55,35.0,10,7666.593,8113.556,37.073,36.236,"[[0, 0], [0, 10], [2, 10], [4, 10], [5, 10], [7, 8], [6, 5], [9, 5], [9, 2], [3, 1], [0, 1], [0, 0]]","[[0, 0], [3, 1], [9, 2], [9, 5], [6, 5], [7, 8], [5, 10], [4, 10], [2, 10], [0, 10], [0, 1], [0, 0]]",446.964,122.1358,"[0, 0]","[0, 10]","[2, 10]","[4, 10]","[5, 10]","[7, 8]","[6, 5]","[9, 5]","[9, 2]","[3, 1]","[0, 1]","[0, 0]"
603,55,32.5,9,6122.051,6493.045,35.499,33.687,"[[0, 0], [3, 9], [4, 10], [6, 9], [9, 3], [10, 0], [8, 1], [7, 0], [4, 0], [1, 2], [0, 0]]","[[0, 0], [1, 2], [3, 9], [4, 10], [6, 9], [9, 3], [10, 0], [8, 1], [7, 0], [4, 0], [0, 0]]",370.994,10.7848,"[0, 0]","[3, 9]","[4, 10]","[6, 9]","[9, 3]","[10, 0]","[8, 1]","[7, 0]","[4, 0]","[1, 2]","[0, 0]",
604,195,97.5,8,17428.854,18024.265,37.527,37.346,"[[0, 0], [0, 10], [10, 8], [8, 7], [8, 7], [8, 4], [9, 2], [4, 0], [2, 1], [0, 0]]","[[0, 0], [0, 10], [8, 7], [8, 7], [10, 8], [8, 4], [9, 2], [4, 0], [2, 1], [0, 0]]",595.411,1.2247,"[0, 0]","[0, 10]","[10, 8]","[8, 7]","[8, 7]","[8, 4]","[9, 2]","[4, 0]","[2, 1]","[0, 0]",,
605,50,80.0,4,3247.202,3337.678,21.358,18.642,"[[0, 0], [7, 5], [2, 4], [4, 2], [2, 0], [0, 0]]","[[0, 0], [2, 4], [7, 5], [4, 2], [2, 0], [0, 0]]",90.475,0.015,"[0, 0]","[7, 5]","[2, 4]","[4, 2]","[2, 0]","[0, 0]",,,,,,
606,95,82.5,7,12801.288,12837.921,35.989,34.719,"[[0, 0], [0, 7], [3, 7], [10, 10], [7, 8], [8, 5], [6, 2], [6, 0], [0, 0]]","[[0, 0], [0, 7], [3, 7], [7, 8], [10, 10], [8, 5], [6, 2], [6, 0], [0, 0]]",36.633,0.0905,"[0, 0]","[0, 7]","[3, 7]","[10, 10]","[7, 8]","[8, 5]","[6, 2]","[6, 0]","[0, 0]",,,
607,95,25.0,5,4637.568,4637.568,30.467,30.467,"[[0, 0], [8, 0], [6, 4], [8, 9], [5, 8], [4, 6], [0, 0]]","[[0, 0], [8, 0], [6, 4], [8, 9], [5, 8], [4, 6], [0, 0]]",0.0,0.003,"[0, 0]","[8, 0]","[6, 4]","[8, 9]","[5, 8]","[4, 6]","[0, 0]",,,,,
608,190,75.0,3,9232.602,9232.602,30.604,30.604,"[[0, 0], [0, 9], [7, 10], [8, 5], [0, 0]]","[[0, 0], [0, 9], [7, 10], [8, 5], [0, 0]]",0.0,0.0,"[0, 0]","[0, 9]","[7, 10]","[8, 5]","[0, 0]",,,,,,,
609,75,97.5,8,12492.917,12519.442,33.793,31.986,"[[0, 0], [9, 4], [6, 4], [6, 9], [3, 9], [1, 9], [2, 7], [3, 7], [0, 1], [0, 0]]","[[0, 0], [6, 4], [9, 4], [6, 9], [3, 9], [1, 9], [2, 7], [3, 7], [0, 1], [0, 0]]",26.525,0.8916,"[0, 0]","[9, 4]","[6, 4]","[6, 9]","[3, 9]","[1, 9]","[2, 7]","[3, 7]","[0, 1]","[0, 0]",,
610,95,52.5,3,4088.498,4088.498,24.045,24.045,"[[0, 0], [8, 1], [7, 7], [6, 6], [0, 0]]","[[0, 0], [8, 1], [7, 7], [6, 6], [0, 0]]",-0.0,0.026,"[0, 0]","[8, 1]","[7, 7]","[6, 6]","[0, 0]",,,,,,,
611,190,92.5,10,20726.996,22795.008,39.793,36.035,"[[0, 0], [4, 10], [10, 9], [8, 8], [8, 5], [9, 4], [8, 1], [5, 3], [1, 4], [1, 4], [2, 1], [0, 0]]","[[0, 0], [1, 4], [1, 4], [4, 10], [8, 8], [10, 9], [8, 5], [9, 4], [8, 1], [5, 3], [2, 1], [0, 0]]",2068.013,131.2005,"[0, 0]","[4, 10]","[10, 9]","[8, 8]","[8, 5]","[9, 4]","[8, 1]","[5, 3]","[1, 4]","[1, 4]","[2, 1]","[0, 0]"
612,145,80.0,4,4643.21,5924.484,21.36,20.796,"[[0, 0], [2, 10], [2, 4], [1, 1], [0, 1], [0, 0]]","[[0, 0], [0, 1], [2, 10], [2, 4], [1, 1], [0, 0]]",1281.273,1.1359,"[0, 0]","[2, 10]","[2, 4]","[1, 1]","[0, 1]","[0, 0]",,,,,,
613,95,97.5,6,6356.693,6865.121,22.553,21.151,"[[0, 0], [7, 5], [3, 7], [3, 5], [4, 3], [3, 3], [2, 2], [0, 0]]","[[0, 0], [3, 5], [3, 7], [7, 5], [4, 3], [3, 3], [2, 2], [0, 0]]",508.428,0.0115,"[0, 0]","[7, 5]","[3, 7]","[3, 5]","[4, 3]","[3, 3]","[2, 2]","[0, 0]",,,,
614,100,57.5,3,2626.226,2626.226,17.062,17.062,"[[0, 0], [1, 8], [1, 5], [1, 0], [0, 0]]","[[0, 0], [1, 8], [1, 5], [1, 0], [0, 0]]",0.0,0.001,"[0, 0]","[1, 8]","[1, 5]","[1, 0]","[0, 0]",,,,,,,
615,165,97.5,7,13215.122,13215.122,30.378,30.378,"[[0, 0], [4, 8], [6, 8], [6, 5], [8, 2], [10, 0], [4, 0], [0, 0], [0, 0]]","[[0, 0], [4, 8], [6, 8], [6, 5], [8, 2], [10, 0], [4, 0], [0, 0], [0, 0]]",-0.0,0.1185,"[0, 0]","[4, 8]","[6, 8]","[6, 5]","[8, 2]","[10, 0]","[4, 0]","[0, 0]","[0, 0]",,,
616,160,20.0,9,7445.535,7445.535,33.155,33.155,"[[0, 0], [7, 0], [9, 3], [10, 10], [9, 9], [7, 9], [4, 5], [3, 3], [2, 3], [0, 1], [0, 0]]","[[0, 0], [7, 0], [9, 3], [10, 10], [9, 9], [7, 9], [4, 5], [3, 3], [2, 3], [0, 1], [0, 0]]",-0.0,9.2091,"[0, 0]","[7, 0]","[9, 3]","[10, 10]","[9, 9]","[7, 9]","[4, 5]","[3, 3]","[2, 3]","[0, 1]","[0, 0]",
617,155,52.5,4,7776.582,7900.029,32.896,31.595,"[[0, 0], [5, 10], [10, 8], [7, 1], [3, 3], [0, 0]]","[[0, 0], [7, 1], [10, 8], [5, 10], [3, 3], [0, 0]]",123.448,0.2016,"[0, 0]","[5, 10]","[10, 8]","[7, 1]","[3, 3]","[0, 0]",,,,,,
618,80,12.5,3,1787.123,1787.123,18.129,18.129,"[[0, 0], [4, 4], [4, 7], [0, 5], [0, 0]]","[[0, 0], [4, 4], [4, 7], [0, 5], [0, 0]]",-0.0,0.0,"[0, 0]","[4, 4]","[4, 7]","[0, 5]","[0, 0]",,,,,,,
619,175,60.0,9,14685.092,15277.238,39.767,36.081,"[[0, 0], [9, 6], [6, 10], [0, 10], [0, 7], [2, 8], [3, 7], [5, 5], [5, 4], [3, 0], [0, 0]]","[[0, 0], [0, 7], [0, 10], [2, 8], [3, 7], [6, 10], [9, 6], [5, 5], [5, 4], [3, 0], [0, 0]]",592.147,10.9047,"[0, 0]","[9, 6]","[6, 10]","[0, 10]","[0, 7]","[2, 8]","[3, 7]","[5, 5]","[5, 4]","[3, 0]","[0, 0]",
620,190,77.5,4,9351.887,9351.887,27.504,27.504,"[[0, 0], [7, 3], [10, 7], [8, 9], [4, 5], [0, 0]]","[[0, 0], [7, 3], [10, 7], [8, 9], [4, 5], [0, 0]]",-0.0,0.2006,"[0, 0]","[7, 3]","[10, 7]","[8, 9]","[4, 5]","[0, 0]",,,,,,
621,80,72.5,6,7226.165,7906.895,29.796,27.818,"[[0, 0], [10, 5], [8, 2], [5, 4], [4, 3], [2, 6], [2, 5], [0, 0]]","[[0, 0], [4, 3], [8, 2], [10, 5], [5, 4], [2, 6], [2, 5], [0, 0]]",680.73,0.014,"[0, 0]","[10, 5]","[8, 2]","[5, 4]","[4, 3]","[2, 6]","[2, 5]","[0, 0]",,,,
