,Human Weight,Ball Weight,Number of Points,Minimum Cost - Our Algorithm,Minimum Cost - Shortest Distance,Distance of Path - Our Algorithm,Shortest Distance,Algorithm Path,SD Path,Cost Savings,Time to Calculate (seconds),Point 0,Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11
54,155,12.5,3,4668.325,4668.325,27.34,27.34,"[[0, 0], [8, 3], [5, 10], [2, 4], [0, 0]]","[[0, 0], [8, 3], [5, 10], [2, 4], [0, 0]]",0.0,0.0,"[0, 0]","[8, 3]","[5, 10]","[2, 4]","[0, 0]",,,,,,,
55,155,90.0,7,12884.941,12884.941,29.816,29.816,"[[0, 0], [9, 2], [10, 2], [10, 3], [8, 8], [5, 8], [3, 5], [0, 3], [0, 0]]","[[0, 0], [9, 2], [10, 2], [10, 3], [8, 8], [5, 8], [3, 5], [0, 3], [0, 0]]",0.0,0.1225,"[0, 0]","[9, 2]","[10, 2]","[10, 3]","[8, 8]","[5, 8]","[3, 5]","[0, 3]","[0, 0]",,,
56,50,57.5,10,8164.341,10803.949,36.791,33.545,"[[0, 0], [1, 9], [2, 5], [10, 4], [8, 3], [7, 1], [4, 3], [3, 1], [1, 2], [1, 1], [1, 0], [0, 0]]","[[0, 0], [1, 1], [1, 2], [2, 5], [1, 9], [10, 4], [8, 3], [7, 1], [4, 3], [3, 1], [1, 0], [0, 0]]",2639.608,126.9755,"[0, 0]","[1, 9]","[2, 5]","[10, 4]","[8, 3]","[7, 1]","[4, 3]","[3, 1]","[1, 2]","[1, 1]","[1, 0]","[0, 0]"
57,155,52.5,4,7744.401,7744.401,31.077,31.077,"[[0, 0], [0, 5], [8, 9], [7, 0], [4, 2], [0, 0]]","[[0, 0], [0, 5], [8, 9], [7, 0], [4, 2], [0, 0]]",0.0,1.4747,"[0, 0]","[0, 5]","[8, 9]","[7, 0]","[4, 2]","[0, 0]",,,,,,
58,180,85.0,10,19744.552,19744.552,36.383,36.383,"[[0, 0], [6, 0], [10, 2], [9, 6], [6, 6], [4, 7], [3, 10], [1, 10], [0, 7], [1, 5], [2, 2], [0, 0]]","[[0, 0], [6, 0], [10, 2], [9, 6], [6, 6], [4, 7], [3, 10], [1, 10], [0, 7], [1, 5], [2, 2], [0, 0]]",0.0,128.6594,"[0, 0]","[6, 0]","[10, 2]","[9, 6]","[6, 6]","[4, 7]","[3, 10]","[1, 10]","[0, 7]","[1, 5]","[2, 2]","[0, 0]"
59,190,12.5,8,6478.411,6478.411,28.826,28.826,"[[0, 0], [6, 9], [6, 5], [8, 4], [9, 3], [9, 2], [7, 2], [5, 1], [4, 1], [0, 0]]","[[0, 0], [6, 9], [6, 5], [8, 4], [9, 3], [9, 2], [7, 2], [5, 1], [4, 1], [0, 0]]",0.0,2.6884,"[0, 0]","[6, 9]","[6, 5]","[8, 4]","[9, 3]","[9, 2]","[7, 2]","[5, 1]","[4, 1]","[0, 0]",,
60,30,60.0,8,7377.829,8139.852,32.353,31.251,"[[0, 0], [6, 5], [9, 9], [9, 7], [10, 5], [10, 2], [9, 2], [2, 1], [0, 2], [0, 0]]","[[0, 0], [0, 2], [6, 5], [9, 9], [9, 7], [10, 5], [10, 2], [9, 2], [2, 1], [0, 0]]",762.023,1.0217,"[0, 0]","[6, 5]","[9, 9]","[9, 7]","[10, 5]","[10, 2]","[9, 2]","[2, 1]","[0, 2]","[0, 0]",,
61,30,60.0,8,7953.751,8491.632,39.883,33.443,"[[0, 0], [9, 1], [0, 9], [1, 9], [4, 6], [5, 7], [7, 6], [6, 4], [2, 0], [0, 0]]","[[0, 0], [0, 9], [1, 9], [4, 6], [5, 7], [7, 6], [6, 4], [9, 1], [2, 0], [0, 0]]",537.881,1.0525,"[0, 0]","[9, 1]","[0, 9]","[1, 9]","[4, 6]","[5, 7]","[7, 6]","[6, 4]","[2, 0]","[0, 0]",,
62,105,80.0,3,7623.489,7623.489,34.235,34.235,"[[0, 0], [9, 1], [10, 9], [1, 8], [0, 0]]","[[0, 0], [9, 1], [10, 9], [1, 8], [0, 0]]",-0.0,0.024,"[0, 0]","[9, 1]","[10, 9]","[1, 8]","[0, 0]",,,,,,,
63,65,95.0,10,13942.951,15844.581,35.456,34.798,"[[0, 0], [8, 0], [7, 2], [6, 5], [7, 10], [1, 8], [2, 5], [3, 3], [3, 1], [3, 1], [1, 0], [0, 0]]","[[0, 0], [3, 3], [2, 5], [1, 8], [7, 10], [6, 5], [7, 2], [8, 0], [3, 1], [3, 1], [1, 0], [0, 0]]",1901.63,134.2941,"[0, 0]","[8, 0]","[7, 2]","[6, 5]","[7, 10]","[1, 8]","[2, 5]","[3, 3]","[3, 1]","[3, 1]","[1, 0]","[0, 0]"
